Matrix multiplication , CPU , 10000, 23.7775, 21.3681, 19.5864
Matrix multiplication , CPU , 10500, 36.56, 38.2364, 37.7054
Matrix multiplication , CPU , 11000, 30.0133, 30.7678, 29.4893
Matrix multiplication , CPU , 11500, 44.2746, 46.132, 37.2243
Matrix multiplication , CPU , 12000, 31.0378, 31.7549, 29.9776
Matrix multiplication , CPU , 12500, 49.6528, 46.5306, 48.0621
Matrix multiplication , CPU , 13000, 44.5348, 38.8759, 40.4212
Matrix multiplication , CPU , 13500, 56.5551, 59.4331, 60.0502
Matrix multiplication , CPU , 14000, 43.9122, 43.7275, 40.4545
Matrix multiplication , CPU , 14500, 66.2907, 69.6677, 62.5687
Matrix multiplication , CPU , 15000, 57.2917, 60.6306, 52.4006
Matrix multiplication , CPU , 15500, 74.4008, 77.392, 75.752
Matrix multiplication , CPU , 16000, 65.1524, 74.1669, 64.0569
Matrix multiplication , CPU , 16500, 74.6848, 77.6037, 74.2862
Matrix multiplication , CPU , 17000, 67.3065, 68.9448, 67.1484
